season,round,driver_id,qualifying_position,q1,q2,q3
2024,8,leclerc,1,1:11.584,1:10.825,1:10.270
2024,7,max_verstappen,1,1:15.762,1:15.176,1:14.746
2024,6,max_verstappen,1,1:27.689,1:27.566,1:27.241
2024,5,tsunoda,19,1:35.746,,
2024,9,russell,1,1:13.013,1:11.742,1:12.000
2024,11,max_verstappen,1,1:05.336,1:04.469,1:04.314
2024,15,norris,1,1:11.377,1:10.496,1:09.673
2024,10,norris,1,1:12.386,1:11.872,1:11.383
2025,1,norris,1,1:15.912,1:15.415,1:15.096
2024,20,sainz,1,1:16.778,1:16.515,1:15.946
2024,13,norris,1,1:17.755,1:15.540,1:15.227
2024,16,norris,1,1:19.911,1:19.727,1:19.327
2024,23,max_verstappen,1,1:21.579,1:20.687,1:20.520
2024,24,norris,1,1:23.682,1:23.098,1:22.595
2025,3,max_verstappen,1,1:27.943,1:27.502,1:26.983
2024,18,norris,1,1:30.002,1:30.007,1:29.525
2024,12,russell,1,1:30.106,1:26.723,1:25.819
2024,21,norris,1,1:30.944,1:24.844,1:23.405
2025,4,piastri,1,1:31.392,1:30.454,1:29.841
2025,2,piastri,1,1:31.591,1:31.200,1:30.641
2024,22,russell,1,1:33.186,1:32.779,1:32.312
2024,19,norris,1,1:33.616,1:32.851,1:32.330
2024,17,leclerc,1,1:42.775,1:42.056,1:41.365
2024,14,max_verstappen,1,1:54.938,1:53.837,1:53.159
2024,8,piastri,2,1:11.500,1:10.756,1:10.424
2024,7,piastri,2,1:15.940,1:15.407,1:14.820
2024,6,leclerc,2,1:28.081,1:27.533,1:27.382
2024,8,sainz,3,1:11.543,1:11.075,1:10.518
2024,7,norris,3,1:15.915,1:15.371,1:14.837
2024,6,sainz,3,1:27.937,1:27.941,1:27.455
2024,5,sargeant,20,1:36.358,,
2024,9,max_verstappen,2,1:12.360,1:12.549,1:12.000
2024,11,norris,2,1:05.450,1:05.103,1:04.718
2024,15,max_verstappen,2,1:11.393,1:10.811,1:10.029
2024,10,max_verstappen,2,1:12.306,1:11.653,1:11.403
2025,1,piastri,2,1:16.062,1:15.468,1:15.180
2024,20,max_verstappen,2,1:16.803,1:16.514,1:16.171
2024,13,piastri,2,1:17.504,1:15.785,1:15.249
2024,16,piastri,2,1:20.076,1:19.808,1:19.436
2024,23,russell,2,1:21.241,1:21.069,1:20.575
2024,24,piastri,2,1:23.640,1:23.199,1:22.804
2025,3,norris,2,1:27.845,1:27.146,1:26.995
2024,21,russell,2,1:29.121,1:26.307,1:23.578
2024,12,hamilton,2,1:29.547,1:26.770,1:25.990
2024,18,max_verstappen,2,1:30.157,1:29.680,1:29.728
2025,2,russell,2,1:31.295,1:31.307,1:30.723
2025,4,russell,2,1:31.494,1:30.664,1:30.009
2024,19,max_verstappen,2,1:33.046,1:32.584,1:32.361
2024,22,sainz,2,1:33.484,1:32.711,1:32.410
2024,17,piastri,2,1:43.033,1:42.598,1:41.686
2024,14,leclerc,2,1:55.349,1:54.193,1:53.754
2024,8,norris,4,1:11.760,1:10.732,1:10.542
2024,7,leclerc,4,1:15.823,1:15.328,1:14.970
2024,6,perez,4,1:27.772,1:27.839,1:27.460
2024,8,russell,5,1:11.492,1:10.929,1:10.543
2024,7,sainz,5,1:16.015,1:15.512,1:15.233
2024,6,norris,5,1:27.913,1:27.871,1:27.594
2025,5,max_verstappen,1,1:27.778,1:27.529,1:27.294
2024,9,norris,3,1:12.959,1:12.201,1:12.021
2024,11,russell,3,1:05.585,1:05.016,1:04.840
2024,15,piastri,3,1:11.541,1:10.505,1:10.172
2024,10,hamilton,3,1:12.143,1:11.792,1:11.701
2025,1,max_verstappen,3,1:16.018,1:15.565,1:15.481
2024,20,norris,3,1:16.505,1:16.301,1:16.260
2024,13,max_verstappen,3,1:17.087,1:15.770,1:15.273
2024,16,russell,3,1:20.169,1:19.877,1:19.440
2024,23,norris,3,1:21.578,1:20.983,1:20.772
2024,24,sainz,3,1:23.487,1:22.985,1:22.824
2025,3,piastri,3,1:27.687,1:27.507,1:27.027
2024,21,tsunoda,3,1:29.172,1:26.464,1:24.111
2024,18,hamilton,3,1:30.393,1:29.929,1:29.841
2025,2,norris,3,1:30.983,1:30.787,1:30.793
2025,4,leclerc,3,1:31.454,1:30.724,1:30.175
2024,12,norris,3,1:31.596,1:26.559,1:26.030
2024,19,sainz,3,1:33.556,1:32.836,1:32.652
2024,22,gasly,3,1:33.691,1:32.879,1:32.664
2024,17,sainz,3,1:43.357,1:42.503,1:41.805
2024,14,perez,3,1:55.139,1:54.470,1:53.765
2024,8,max_verstappen,6,1:11.711,1:10.745,1:10.567
2024,7,russell,6,1:16.107,1:15.671,1:15.234
2024,6,piastri,6,1:28.032,1:27.721,1:27.675
2025,5,piastri,2,1:27.901,1:27.545,1:27.304
2024,8,hamilton,7,1:11.528,1:11.056,1:10.621
2024,7,tsunoda,7,1:15.894,1:15.358,1:15.465
2024,6,russell,7,1:28.159,1:28.095,1:28.067
2024,9,piastri,4,1:12.907,1:12.462,1:12.103
2024,11,sainz,4,1:05.263,1:05.016,1:04.851
2024,15,russell,4,1:11.049,1:10.552,1:10.244
2024,10,russell,4,1:12.456,1:11.812,1:11.703
2025,1,russell,4,1:15.971,1:15.798,1:15.546
2024,20,leclerc,4,1:16.972,1:16.641,1:16.265
2024,13,sainz,4,1:17.244,1:15.885,1:15.696
2024,16,leclerc,4,1:20.074,1:20.007,1:19.461
2024,23,piastri,4,1:21.821,1:21.121,1:20.829
2024,24,hulkenberg,4,1:23.722,1:23.040,1:22.886
2025,3,leclerc,4,1:27.920,1:27.555,1:27.299
2024,21,ocon,4,1:29.171,1:26.206,1:24.475
2024,18,russell,4,1:30.811,1:30.153,1:29.867
2024,12,max_verstappen,4,1:31.342,1:26.796,1:26.203
2025,4,antonelli,4,1:31.415,1:30.716,1:30.213
2025,2,max_verstappen,4,1:31.424,1:31.142,1:30.817
2024,19,leclerc,4,1:33.241,1:32.962,1:32.740
2024,22,leclerc,4,1:33.446,1:33.016,1:32.783
2024,17,perez,4,1:43.213,1:42.263,1:41.813
2024,14,hamilton,4,1:55.692,1:54.037,1:53.835
2024,8,tsunoda,8,1:11.852,1:11.106,1:10.858
2024,7,hamilton,8,1:16.604,1:15.677,1:15.504
2024,6,hamilton,8,1:28.167,1:27.697,1:28.107
2025,5,russell,3,1:28.282,1:27.599,1:27.407
2024,8,albon,9,1:11.623,1:11.216,1:10.948
2024,7,ricciardo,9,1:16.060,1:15.691,1:15.674
2024,6,hulkenberg,9,1:28.383,1:28.200,1:28.146
2024,9,ricciardo,5,1:13.240,1:12.572,1:12.178
2024,11,hamilton,5,1:05.541,1:05.053,1:04.903
2024,15,perez,5,1:11.006,1:10.678,1:10.416
2024,10,leclerc,5,1:12.257,1:12.038,1:11.731
2025,1,tsunoda,5,1:16.225,1:16.009,1:15.670
2024,13,hamilton,5,1:17.087,1:16.307,1:15.854
2024,20,russell,5,1:17.194,1:16.937,1:16.356
2024,16,sainz,5,1:20.149,1:19.799,1:19.467
2024,23,leclerc,5,1:21.278,1:21.000,1:20.852
2024,24,max_verstappen,5,1:23.516,1:22.998,1:22.945
2025,3,russell,5,1:27.843,1:27.400,1:27.318
2024,18,piastri,5,1:30.258,1:29.640,1:29.953
2024,21,lawson,5,1:30.758,1:25.654,1:24.484
2024,12,piastri,5,1:30.895,1:26.733,1:26.237
2025,4,gasly,5,1:31.462,1:30.643,1:30.216
2025,2,hamilton,5,1:31.690,1:31.501,1:30.927
2024,22,max_verstappen,5,1:33.299,1:33.085,1:32.797
2024,19,piastri,5,1:33.864,1:33.057,1:32.950
2024,17,russell,5,1:43.139,1:42.329,1:41.874
2024,14,norris,5,1:55.582,1:54.358,1:53.981
2024,8,gasly,10,1:11.714,1:10.896,1:11.311
2024,7,hulkenberg,10,1:15.841,1:15.569,1:15.980
2024,6,tsunoda,10,1:28.324,1:28.167,1:28.192
2025,5,leclerc,4,1:28.552,1:27.866,1:27.670
2024,9,alonso,6,1:13.117,1:12.635,1:12.228
2024,8,ocon,11,1:11.887,1:11.285,
2024,7,perez,11,1:16.404,1:15.706,
2024,6,stroll,11,1:28.177,1:28.222,
2024,11,leclerc,6,1:05.509,1:05.104,1:05.044
2024,15,leclerc,6,1:11.370,1:10.689,1:10.582
2024,10,sainz,6,1:12.403,1:11.874,1:11.736
2025,1,albon,6,1:16.245,1:16.017,1:15.737
2024,20,hamilton,6,1:17.306,1:16.973,1:16.651
2024,13,leclerc,6,1:17.437,1:15.891,1:15.905
2024,16,hamilton,6,1:20.477,1:19.641,1:19.513
2024,23,hamilton,6,1:21.637,1:21.095,1:21.011
2024,24,gasly,6,1:23.548,1:23.086,1:22.984
2025,3,antonelli,6,1:27.968,1:27.639,1:27.555
2024,21,leclerc,6,1:29.839,1:26.097,1:24.525
2024,18,hulkenberg,6,1:30.724,1:30.150,1:30.115
2025,4,norris,6,1:31.107,1:30.560,1:30.267
2025,2,leclerc,6,1:31.579,1:31.450,1:31.021
2024,12,hulkenberg,6,1:31.929,1:26.847,1:26.338
2024,19,russell,6,1:33.536,1:33.142,1:32.974
2024,22,norris,6,1:33.592,1:33.099,1:33.008
2024,17,max_verstappen,6,1:43.097,1:42.042,1:42.023
2024,14,piastri,6,1:54.835,1:54.136,1:54.027
2024,8,ricciardo,12,1:11.785,1:11.482,
2024,7,ocon,12,1:16.361,1:15.906,
2024,6,gasly,12,1:27.976,1:28.324,
2025,5,antonelli,5,1:28.128,1:27.798,1:27.866
2024,9,hamilton,7,1:12.851,1:11.979,1:12.280
2024,8,stroll,13,1:11.728,1:11.563,
2024,7,stroll,13,1:16.458,1:15.992,
2024,6,ocon,13,1:28.209,1:28.371,
2024,11,piastri,7,1:05.311,1:05.070,1:05.048
2024,15,alonso,7,1:11.493,1:10.845,1:10.633
2024,10,gasly,7,1:12.651,1:12.079,1:11.857
2025,1,leclerc,7,1:16.029,1:15.827,1:15.755
2024,20,kevin_magnussen,7,1:17.125,1:17.003,1:16.886
2024,13,alonso,7,1:17.624,1:16.117,1:16.043
2024,16,max_verstappen,7,1:20.226,1:19.662,1:20.022
2024,23,sainz,7,1:21.447,1:21.199,1:21.041
2024,24,russell,7,1:23.678,1:23.283,1:23.132
2025,3,hadjar,7,1:28.278,1:27.775,1:27.569
2024,21,albon,7,1:29.072,1:24.657,1:24.657
2024,12,sainz,7,1:30.557,1:26.843,1:26.509
2024,18,alonso,7,1:30.684,1:30.450,1:30.214
2025,2,hadjar,7,1:31.162,1:31.253,1:31.079
2025,4,max_verstappen,7,1:31.303,1:31.019,1:30.423
2024,19,gasly,7,1:33.550,1:33.162,1:33.018
2024,22,tsunoda,7,1:33.789,1:33.089,1:33.029
2024,17,hamilton,7,1:43.089,1:42.765,1:42.289
2024,14,russell,7,1:55.353,1:54.095,1:54.184
2024,8,alonso,14,1:12.019,,
2024,7,albon,14,1:16.524,1:16.200,
2024,6,albon,14,1:28.343,1:28.413,
2025,5,sainz,6,1:28.354,1:28.024,1:28.164
2024,9,tsunoda,8,1:12.748,1:12.303,1:12.414
2024,8,hulkenberg,14,1:11.876,1:11.440,
2024,7,gasly,15,1:16.015,1:16.381,
2024,6,alonso,15,1:28.453,1:28.427,
2024,11,perez,8,1:05.587,1:05.144,1:05.202
2024,15,stroll,8,1:11.518,1:10.661,1:10.857
2024,10,perez,8,1:12.477,1:12.054,1:12.061
2025,1,hamilton,8,1:16.213,1:15.919,1:15.973
2024,20,gasly,8,1:17.149,1:17.048,1:16.892
2024,13,stroll,8,1:17.405,1:16.075,1:16.244
2024,16,perez,8,1:20.598,1:20.216,1:20.062
2024,23,alonso,8,1:21.608,1:21.208,1:21.251
2024,24,alonso,8,1:23.794,1:23.268,1:23.196
2025,3,hamilton,8,1:27.942,1:27.610,1:27.610
2024,21,piastri,8,1:30.114,1:24.686,1:24.686
2024,18,tsunoda,8,1:30.716,1:30.289,1:30.354
2024,12,stroll,8,1:31.410,1:26.938,1:26.585
2025,4,sainz,8,1:31.591,1:30.844,1:30.680
2025,2,antonelli,8,1:31.676,1:31.590,1:31.103
2024,22,piastri,8,1:33.450,1:33.024,1:33.033
2024,19,alonso,8,1:33.973,1:33.429,1:33.309
2024,17,alonso,8,1:43.472,1:42.426,1:42.369
2024,14,sainz,8,1:55.169,1:54.112,1:54.477
2025,5,hamilton,7,1:28.372,1:28.102,1:28.201
2024,8,sargeant,15,1:12.020,,
2024,7,bottas,16,1:16.626,,
2024,6,bottas,16,1:28.463,,
2024,9,stroll,9,1:13.088,1:12.659,1:12.701
2024,8,kevin_magnussen,15,1:11.832,1:11.725,
2024,7,zhou,17,1:16.834,,
2024,6,sargeant,17,1:28.487,,
2024,11,hulkenberg,9,1:05.596,1:05.262,1:05.385
2024,15,gasly,9,1:11.718,1:10.815,1:10.977
2024,10,ocon,9,1:12.691,1:12.109,1:12.125
2025,1,gasly,9,1:16.328,1:16.112,1:15.980
2024,13,ricciardo,9,1:17.050,1:16.202,1:16.447
2024,20,albon,9,1:17.189,1:16.988,1:17.065
2024,16,albon,9,1:20.542,1:20.314,1:20.299
2024,23,perez,9,1:21.675,1:21.425,1:21.425
2024,24,bottas,9,1:23.481,1:23.341,1:23.204
2025,3,albon,9,1:28.218,1:27.783,1:27.615
2024,21,alonso,9,1:30.207,1:28.998,1:28.998
2024,18,leclerc,9,1:30.786,1:29.747,
2024,12,albon,9,1:31.135,1:26.933,1:26.640
2025,4,hamilton,9,1:31.219,1:31.009,1:30.772
2025,2,tsunoda,9,1:31.238,1:31.260,1:31.638
2024,19,kevin_magnussen,9,1:33.564,1:33.474,1:33.481
2024,22,hulkenberg,9,1:33.920,1:33.114,1:33.062
2024,17,colapinto,9,1:43.138,1:42.473,1:42.530
2024,14,alonso,9,1:55.489,1:54.258,1:54.765
2025,5,tsunoda,8,1:28.226,1:27.990,1:28.204
2024,8,perez,16,1:12.060,,
2024,7,kevin_magnussen,18,1:16.854,,
2024,6,ricciardo,18,1:28.617,,
2024,9,albon,10,1:12.896,1:12.485,1:12.796
2024,8,bottas,17,1:12.512,,
2024,7,alonso,19,1:16.917,,
2024,6,kevin_magnussen,19,1:28.619,,
2024,11,ocon,10,1:05.574,1:05.274,1:05.883
2024,15,sainz,10,1:11.327,1:10.914,
2024,10,piastri,10,1:12.460,1:12.011,
2025,1,sainz,10,1:16.360,1:15.931,1:16.062
2024,20,hulkenberg,10,1:17.186,1:16.995,1:17.365
2024,13,tsunoda,10,1:17.436,1:16.121,1:16.477
2024,16,hulkenberg,10,1:20.781,1:20.411,1:20.339
2024,23,kevin_magnussen,10,1:21.891,1:21.387,1:21.500
2024,24,perez,10,1:23.559,1:23.379,1:23.264
2025,3,bearman,10,1:28.228,1:27.711,1:27.867
2024,21,stroll,10,1:30.580,1:26.334,
2024,18,sainz,10,1:30.670,1:30.108,
2024,12,alonso,10,1:31.264,1:26.730,1:26.917
2025,2,albon,10,1:31.503,1:31.595,1:31.706
2025,4,tsunoda,10,1:31.751,1:31.228,1:31.303
2024,22,hamilton,10,1:33.225,1:32.567,1:48.106
2024,19,perez,10,1:33.611,1:33.020,
2024,17,albon,10,1:42.899,1:42.840,1:42.859
2024,14,ocon,10,1:55.417,1:54.460,1:54.810
2025,5,gasly,9,1:28.421,1:28.025,1:28.367
2024,7,sargeant,20,,,
2024,8,zhou,18,1:13.028,,
2024,6,zhou,20,1:28.824,,
2024,9,leclerc,11,1:13.107,1:12.691,
2025,8,norris,1,1:11.285,1:10.570,1:09.954
2025,7,piastri,1,1:15.500,1:15.214,1:14.670
2025,6,max_verstappen,1,1:26.870,1:26.643,1:26.204
2025,5,norris,10,1:27.805,1:27.481,
2024,15,albon,10,,1:10.768,1:10.653
2024,11,ricciardo,11,1:05.569,1:05.289,
2024,10,alonso,11,1:12.505,1:12.128,
2025,1,hadjar,11,1:16.354,1:16.175,
2024,20,tsunoda,11,1:17.182,1:17.129,
2024,13,hulkenberg,11,1:17.362,1:16.317,
2024,16,alonso,11,1:20.617,1:20.421,
2024,23,gasly,11,1:21.843,1:21.437,
2024,24,tsunoda,11,1:23.735,1:23.419,
2025,3,gasly,11,1:28.186,1:27.822,
2024,12,leclerc,11,1:30.496,1:27.097,
2024,21,bottas,11,1:30.633,1:26.472,
2024,18,albon,11,1:30.679,1:30.474,
2025,4,doohan,11,1:31.414,1:31.245,
2025,2,ocon,11,1:31.876,1:31.625,
2024,19,tsunoda,11,1:33.795,1:33.506,
2024,22,ocon,11,1:33.968,1:33.221,
2024,17,bearman,11,1:43.471,1:42.968,
2024,14,albon,11,1:55.722,1:54.473,
2025,8,leclerc,2,1:11.229,1:10.581,1:10.063
2025,7,max_verstappen,2,1:15.175,1:15.394,1:14.704
2025,6,norris,2,1:26.955,1:26.499,1:26.269
2024,9,sainz,12,1:13.038,1:12.728,
2025,8,piastri,3,1:11.308,1:10.858,1:10.129
2025,7,russell,3,1:15.852,1:15.334,1:14.807
2025,6,antonelli,3,1:27.077,1:26.606,1:26.271
2025,5,albon,11,1:28.279,1:28.109,
2024,11,kevin_magnussen,12,1:05.508,1:05.347,
2024,15,hamilton,11,1:11.375,1:10.948,
2024,10,bottas,12,1:12.758,1:12.227,
2025,1,alonso,12,1:16.288,1:16.453,
2024,20,lawson,12,1:17.380,1:17.162,
2024,13,bottas,12,1:17.487,1:16.384,
2024,16,ricciardo,12,1:20.901,1:20.479,
2024,23,zhou,12,1:22.103,1:21.501,
2024,24,lawson,12,1:23.733,1:23.472,
2025,3,sainz,12,1:28.209,1:27.836,
2024,21,max_verstappen,12,1:28.522,1:27.771,
2024,18,colapinto,12,1:30.704,1:30.481,
2025,4,hadjar,12,1:31.591,1:31.271,
2024,12,sargeant,12,1:31.608,1:27.175,
2025,2,hulkenberg,12,1:31.921,1:31.632,
2024,19,hulkenberg,12,1:33.601,1:33.544,
2024,22,kevin_magnussen,12,1:33.991,1:33.297,
2024,17,tsunoda,12,1:43.337,1:43.035,
2024,14,gasly,12,1:54.911,1:54.635,
2025,8,hamilton,4,1:11.575,1:10.883,1:10.382
2025,7,norris,4,1:15.894,1:15.261,1:14.962
2025,6,piastri,4,1:27.006,1:26.269,1:26.375
2024,9,sargeant,13,1:13.063,1:12.736,
2025,8,max_verstappen,5,1:11.431,1:10.875,1:10.669
2025,7,alonso,5,1:15.695,1:15.442,1:15.431
2025,6,russell,5,1:27.014,1:26.575,1:26.385
2025,5,lawson,12,1:28.561,1:28.191,
2024,11,gasly,13,1:05.598,1:05.359,
2024,15,tsunoda,12,1:11.603,1:10.955,
2024,10,hulkenberg,13,1:12.708,1:12.310,
2025,1,stroll,13,1:16.369,1:16.483,
2024,13,albon,13,1:17.280,1:16.429,
2024,20,alonso,13,1:17.307,1:17.168,
2024,16,kevin_magnussen,13,1:20.856,1:20.698,
2024,23,bottas,13,1:21.927,1:21.731,
2024,24,stroll,13,1:23.729,1:23.784,
2025,3,alonso,13,1:28.337,1:27.897,
2024,21,perez,13,1:30.035,1:28.158,
2024,18,perez,13,1:30.624,1:30.579,
2024,12,tsunoda,13,1:30.994,1:27.269,
2025,4,alonso,13,1:31.634,1:31.886,
2025,2,alonso,13,1:31.719,1:31.688,
2024,19,ocon,13,1:33.986,1:33.597,
2024,22,zhou,13,1:34.079,1:33.566,
2024,17,hulkenberg,13,1:43.101,1:43.191,
2024,14,ricciardo,13,1:55.451,1:54.682,
2025,8,hadjar,6,1:11.811,1:11.040,1:10.923
2025,7,sainz,6,1:15.987,1:15.198,1:15.432
2025,6,sainz,6,1:27.098,1:26.847,1:26.569
2024,9,kevin_magnussen,14,1:13.217,1:12.916,
2025,5,alonso,13,1:28.548,1:28.303,
2025,8,alonso,7,1:11.674,1:11.182,1:10.924
2025,7,albon,7,1:16.123,1:15.521,1:15.473
2025,6,albon,7,1:27.042,1:26.855,1:26.682
2024,11,tsunoda,14,1:05.563,1:05.412,
2024,15,hulkenberg,13,1:11.832,1:11.215,
2024,10,stroll,14,1:12.881,1:12.372,
2025,1,doohan,14,1:16.315,1:16.863,
2024,20,stroll,14,1:17.407,1:17.294,
2024,13,sargeant,14,1:17.770,1:16.543,
2024,16,gasly,14,1:20.748,1:20.738,
2024,23,tsunoda,14,1:22.364,1:21.771,
2024,24,leclerc,14,1:23.302,1:23.833,
2025,3,lawson,14,1:28.554,1:27.906,
2024,21,sainz,14,1:30.303,1:29.406,
2024,18,kevin_magnussen,14,1:30.829,1:30.653,
2024,12,zhou,14,1:31.190,1:27.867,
2025,4,ocon,14,1:31.594,,
2025,2,stroll,14,1:31.923,1:31.773,
2024,22,colapinto,14,1:33.746,1:33.749,
2024,19,stroll,14,1:34.033,1:33.759,
2024,17,stroll,14,1:43.370,1:43.404,
2024,14,bottas,14,1:55.531,1:54.764,
2025,8,ocon,8,1:11.839,1:11.262,1:10.942
2025,7,stroll,8,1:15.817,1:15.497,1:15.581
2025,6,leclerc,8,1:27.417,1:26.948,1:26.754
2024,9,gasly,15,1:13.289,1:12.940,
2025,5,hadjar,14,1:28.571,1:28.418,
2025,8,lawson,9,1:11.818,1:11.250,1:11.129
2025,7,hadjar,9,1:16.253,1:15.510,1:15.746
2025,6,ocon,9,1:27.450,1:26.967,1:26.824
2024,17,gasly,15,,1:43.179,
2024,11,alonso,15,1:05.656,1:05.639,
2024,15,kevin_magnussen,14,1:11.630,1:11.295,
2024,10,zhou,15,1:12.880,1:12.738,
2025,1,bortoleto,15,1:16.516,1:17.520,
2024,20,bottas,15,1:17.393,1:17.817,
2024,13,kevin_magnussen,15,1:17.851,1:16.548,
2024,16,ocon,15,1:20.764,1:20.766,
2024,23,stroll,15,1:22.011,1:21.911,
2024,24,kevin_magnussen,15,1:23.632,1:23.877,
2025,3,tsunoda,15,1:27.967,1:28.000,
2024,21,gasly,15,1:29.420,1:29.614,
2024,18,ocon,15,1:30.958,1:30.769,
2024,12,ricciardo,15,1:31.291,1:27.949,
2025,2,sainz,15,1:31.628,1:31.840,
2025,4,albon,15,1:32.040,,
2024,19,lawson,15,1:33.339,,
2024,22,lawson,15,1:34.087,1:34.257,
2024,14,stroll,15,1:56.072,1:55.716,
2025,8,albon,10,1:11.629,1:10.732,1:11.213
2025,7,gasly,10,1:15.937,1:15.505,1:15.787
2025,6,tsunoda,10,1:27.298,1:26.959,1:26.943
2024,9,perez,16,1:13.326,,
2025,5,bearman,15,1:28.536,1:28.648,
2025,8,sainz,11,1:11.707,1:11.362,
2025,7,leclerc,11,1:16.108,1:15.604,
2025,6,hadjar,11,1:27.301,1:26.987,
2024,11,albon,16,1:05.736,,
2024,15,ricciardo,15,1:11.943,,
2024,10,kevin_magnussen,16,1:12.937,,
2025,1,antonelli,16,1:16.525,,
2024,20,colapinto,16,1:17.558,,
2024,13,perez,16,1:17.886,,
2024,16,tsunoda,16,1:20.945,,
2024,23,albon,16,1:22.390,,
2024,24,albon,16,1:23.821,,
2025,3,hulkenberg,16,1:28.570,,
2024,18,ricciardo,16,1:31.085,,
2024,21,hamilton,16,1:31.150,,
2025,2,gasly,16,1:31.992,,
2025,4,hulkenberg,16,1:32.067,,
2024,12,bottas,16,1:32.431,,
2024,19,albon,16,1:34.051,,
2024,22,perez,16,1:34.155,,
2024,17,ricciardo,15,1:43.547,,
2024,14,hulkenberg,16,1:56.308,,
2024,9,bottas,17,1:13.366,,
2025,8,tsunoda,12,1:11.800,1:11.415,
2025,7,hamilton,12,1:16.163,1:15.765,
2025,6,hamilton,12,1:27.279,1:27.006,
2025,5,stroll,16,1:28.645,,
2025,8,hulkenberg,13,1:11.871,1:11.596,
2025,7,antonelli,13,1:15.943,1:15.772,
2025,6,bortoleto,13,1:27.343,1:27.151,
2024,11,stroll,17,1:05.819,,
2024,15,ocon,16,1:11.995,,
2024,10,tsunoda,17,1:12.985,,
2025,1,hulkenberg,17,1:16.579,,
2024,20,piastri,17,1:17.597,,
2024,13,russell,17,1:17.968,,
2024,16,stroll,17,1:21.013,,
2024,23,lawson,17,1:22.411,,
2024,24,zhou,17,1:23.880,,
2025,3,bortoleto,17,1:28.622,,
2024,18,stroll,17,1:31.094,,
2024,21,bearman,17,1:31.229,,
2025,2,bearman,17,1:32.018,,
2025,4,lawson,17,1:32.165,,
2024,12,kevin_magnussen,17,1:32.905,,
2024,19,colapinto,17,1:34.062,,
2024,22,alonso,17,1:34.258,,
2024,17,norris,16,1:43.609,,
2024,14,kevin_magnussen,17,1:56.500,,
2024,9,ocon,18,1:13.435,,
2025,8,russell,14,1:11.507,,
2025,7,bortoleto,14,1:16.340,1:16.260,
2025,6,doohan,14,1:27.422,1:27.186,
2025,5,doohan,17,1:28.739,,
2025,8,antonelli,15,1:11.880,,
2025,7,colapinto,15,1:16.256,,
2025,6,lawson,15,1:27.444,1:27.363,
2024,11,bottas,18,1:05.847,,
2024,15,bottas,17,1:12.168,,
2024,10,ricciardo,18,1:13.075,,
2025,1,lawson,18,1:17.094,,
2024,20,perez,18,1:17.611,,
2024,13,zhou,18,1:18.037,,
2024,16,colapinto,18,1:21.061,,
2024,23,hulkenberg,18,1:22.442,,
2024,24,hamilton,18,1:23.887,,
2025,3,ocon,18,1:28.696,,
2024,21,colapinto,18,1:31.270,,
2024,18,gasly,18,1:31.312,,
2025,2,doohan,18,1:32.092,,
2025,4,bortoleto,18,1:32.186,,
2024,19,bottas,18,1:34.152,,
2024,22,albon,18,1:34.425,,
2024,12,ocon,18,1:34.557,,
2024,17,bottas,17,1:43.618,,
2024,14,tsunoda,18,1:56.593,,
2024,9,hulkenberg,19,1:13.978,,
2025,5,hulkenberg,18,1:28.782,,
2025,8,bortoleto,16,1:11.902,,
2025,7,lawson,16,1:16.379,,
2025,6,hulkenberg,16,1:27.473,,
2025,8,bearman,17,1:11.979,,
2025,7,hulkenberg,17,1:16.518,,
2025,6,alonso,17,1:27.604,,
2024,11,sargeant,19,1:05.856,,
2024,10,albon,19,1:13.153,,
2024,15,zhou,18,1:13.261,,
2025,1,ocon,19,1:17.147,,
2024,20,ocon,19,1:17.617,,
2024,13,ocon,19,1:18.049,,
2024,16,bottas,19,1:21.101,,
2024,23,colapinto,19,1:22.594,,
2024,24,colapinto,19,1:23.912,,
2025,3,doohan,19,1:28.877,,
2024,18,bottas,19,1:31.572,,
2024,21,hulkenberg,19,1:31.623,,
2025,2,bortoleto,19,1:32.141,,
2025,4,stroll,19,1:32.283,,
2024,19,hamilton,19,1:34.154,,
2024,22,bottas,19,1:34.430,,
2024,12,perez,19,1:38.348,,
2024,17,zhou,18,1:44.246,,
2024,14,sargeant,19,1:57.230,,
2024,9,zhou,20,1:14.292,,
2025,5,ocon,19,1:29.092,,
2025,8,gasly,18,1:11.994,,
2025,7,ocon,18,1:16.613,,
2025,6,gasly,18,1:27.710,,
2025,8,stroll,19,1:12.563,,
2025,7,bearman,19,1:16.918,,
2025,6,stroll,19,1:27.830,,
2024,15,sargeant,20,,,
2025,1,bearman,20,,,
2024,11,zhou,20,1:06.061,,
2024,10,sargeant,20,1:13.509,,
2024,20,zhou,20,1:18.072,,
2024,13,gasly,20,1:18.166,,
2024,16,zhou,20,1:21.445,,
2024,23,ocon,20,1:22.714,,
2024,24,doohan,20,1:24.105,,
2025,3,stroll,20,1:29.271,,
2024,18,zhou,20,1:32.054,,
2025,2,lawson,20,1:32.174,,
2024,21,zhou,20,1:32.263,,
2025,4,bearman,20,1:32.373,,
2024,19,zhou,20,1:34.228,,
2024,22,stroll,20,1:34.484,,
2024,12,gasly,20,1:39.804,,
2024,17,ocon,19,1:44.504,,
2024,14,zhou,20,1:57.775,,
2025,9,piastri,1,1:12.551,1:11.998,1:11.546
2025,5,bortoleto,20,1:29.462,,
2025,7,tsunoda,20,,,
2025,8,colapinto,20,1:12.597,,
2025,6,bearman,20,1:27.999,,
